"communityname","population","state","medIncome","medIncomein000s","PctRecImmig5","PctNotHSGrad","PctUnemployed","PopDens","LemasSwornFT","PctFam2Par","PctPopUnderPov","PctVacMore6Mos","PctShelter","MedYrHousBuilt","new_murdPerPop","new_rapesPerPop","new_robbbPerPop","new_assaultPerPop","new_burglPerPop","new_larcPerPop","new_autoTheftPerPop","new_arsonsPerPop","calc_ViolentCrimesPerPop","calc_nonViolPerPop","totCrimesPerPop"
"BerkeleyHeightstownship",11980,"NJ",75122,75.122,1.39,9.9,2.7,1845.9,NA,91.43,1.96,37.5,0.0918196994991653,1959,0,0,8.2,32.81,114.85,1132.08,131.26,16.41,41.01,1394.6,1435.61
"Marpletownship",23123,"PA",47917,47.917,0.72,13.72,2.43,2186.7,NA,86.91,3.98,18.33,0,1958,0,4.25,21.26,102.05,242.37,1598.78,110.55,4.25,127.56,1955.95,2083.51
"Tigardcity",29344,"OR",35669,35.669,1.2,9.09,4.01,2780.9,NA,78.54,4.75,7.54,0.054525627044711,1976,8.3,16.6,154.95,38.74,758.14,4972.19,376.3,60.87,218.59,6167.5,6386.09
"Gloversvillecity",16656,"NY",20580,20.58,0.28,33.68,9.86,3217.7,NA,64.02,17.23,57.85,0,1939,0,57.86,57.86,190.93,1301.78,4142.56,271.93,21.08,306.65,5737.35,6044
"Bemidjicity",11245,"MN",17390,17.39,0.98,23.06,9.08,974.2,NA,58.59,29.99,42.64,0.0177856825255669,1958,0,26.92,32.04,112.14,728.93,8490.87,728.93,40.05,171.1,9988.78,10159.88
"Springfieldcity",140494,"MO",21577,21.577,0.45,23.03,5.72,1995.7,NA,71.94,17.78,26.22,0.232750153031446,1966,4.63,50.98,90.05,297.29,1386.46,5091.64,300.6,88.72,442.95,6867.42,7310.37
"Norwoodtown",28700,"MA",42805,42.805,1.49,13.89,4.85,2643.5,NA,79.53,4.01,34.45,0,1956,0,13.53,30.44,182.66,372.09,974.19,487.1,57.5,226.63,1890.88,2117.51
"Andersoncity",59459,"IN",23221,23.221,0.2,28.67,8.19,1515.3,NA,62.56,17.98,56.36,0.0353184547335139,1954,13.13,55.79,160.8,210.02,997.6,3691.79,205.1,14.77,439.74,4909.26,5349
"Fargocity",74111,"ND",25326,25.326,0.67,11.27,4.18,2399.3,NA,79.35,13.68,25.61,0.168665920038861,1971,0,43.87,20.05,51.39,532.66,3946.71,258.18,10.03,115.31,4747.58,4862.89
"Wacocity",103590,"TX",17852,17.852,1.07,31.62,8.39,1319.3,198,61.65,28.68,37.57,0.0415097982430737,1960,26.88,130.69,419.89,966.77,2221.81,5673.63,991.8,16.68,1544.23,8903.92,10448.15
"Shermancity",31601,"TX",24763,24.763,1.05,24.86,7.19,816.1,NA,68.41,15.61,42.34,0.00316445682098668,1965,3.11,90.25,220.96,407.69,1456.49,5654.8,469.94,18.67,722.01,7599.9,8321.91
"SanPablocity",25158,"CA",25479,25.479,8.65,34.18,10.16,9387.3,NA,58.06,19.02,18.35,0.0794975753239526,1963,44.42,77.73,1143.81,1340,1769.39,5404.4,1591.71,74.03,2605.96,8839.53,11445.49
"BowlingGreencity",40641,"KY",20043,20.043,0.76,28.52,6.93,1354.2,NA,64.6,23.91,28.93,0.0688959425210994,1966,6.54,78.53,126.52,586.8,1269.58,3895.99,322.85,19.63,798.39,5508.05,6306.44
"PineBluffcity",57140,"AR",19143,19.143,0.23,34.5,11.05,1301.5,111,58.65,27.71,39.65,0.0490024501225061,1964,27.26,100.51,444.61,904.55,2987.92,3424.02,880.7,78.36,1476.93,7371,8847.93
"NewUlmcity",13132,"MN",25797,25.797,0.16,25.41,3.67,1481.2,NA,79.99,6.84,40.56,0,1956,0,26.92,0,65.82,489.98,2069.62,153.58,7.31,92.74,2720.49,2813.23
"Maplewoodcity",30954,"MN",37856,37.856,0.29,14.64,4.17,1724.8,NA,76.68,6.22,25.96,0,1969,0,26.92,79.7,109.22,667.12,4776.1,469.34,20.66,215.84,5933.22,6149.06
"Enfieldtown",45532,"CT",44635,44.635,0.61,21.62,4.01,1314.3,NA,81.96,2.89,29.89,0.0175700606167091,1960,2.19,0,50.46,37.29,618.62,1987.5,508.94,15.36,89.94,3130.42,3220.36
"Glendalecity",180038,"CA",34372,34.372,18.71,22.83,6.95,5677.3,204,77.1,14.37,17.69,0.0455459403014919,1962,5.02,16.72,197.91,154.42,889.74,2509.23,806.68,40.7,374.07,4246.35,4620.42
"Worthingtoncity",14869,"OH",49851,49.851,0.77,5.95,2.57,2552.7,NA,82.5,2.35,30.49,0.0672540184276011,1963,0,13.24,66.18,33.09,655.15,2739.73,119.12,26.47,112.51,3540.47,3652.98
"Arlingtoncity",261721,"TX",35048,35.048,2.3,12.19,4.99,2716.3,356,78.19,8.21,27.45,0.0179580545695607,1978,2.39,49.94,242.88,477.55,1360.48,3938.78,838.8,33.18,772.76,6171.24,6944
"Plymouthcity",50889,"MN",51314,51.314,0.59,5.56,3.24,1491.7,NA,85.61,3.36,14.5,0,1979,0,26.92,21.41,90.6,446.39,2418.09,164.72,102.13,138.93,3131.33,3270.26
"NewYorkcity",7322564,"NY",29823,29.823,7.26,31.68,8.98,22878.2,25655,57.64,19.29,40.33,0.319328038648757,1946,26.59,38.5,1174.95,857.68,1355.37,3212.39,1536.49,60.7,2097.72,6164.95,8262.67
"Marinacity",26436,"CA",29043,29.043,3.36,15.83,3.5,2917.9,NA,80.12,9.67,3.12,0,1976,12.89,58.03,270.79,303.03,1457.12,3526.76,322.37,32.24,644.74,5338.49,5983.23
